State,Median Home Price
Alabama,130500
Alaska,305800
Arizona,252300
Arkansas,126200
California,548800
Colorado,376800
Connecticut,243700
Delaware,238200
Florida,233300
Georgia,187700
Hawaii,617900
Idaho,260800
Illinois,180300
Indiana,143500
Iowa,142600
Kansas,140200
Kentucky,144700
Louisiana,147300
Maine,232100
Maryland,291000
Massachusetts,407800
Michigan,151000
Minnesota,234400
Mississippi,128000
Missouri,161400
Montana,238100
Nebraska,164500
Nevada,293100
New Hampshire,275000
New Jersey,326300
New Mexico,195100
New York,294200
North Carolina,183400
North Dakota,206000
Ohio,139100
Oklahoma,123300
Oregon,346100
Pennsylvania,173300
Rhode Island,281500
South Carolina,165800
South Dakota,188600
Tennessee,166500
Texas,196100
Utah,338700
Vermont,202900
Virginia,257700
Washington,385400
Washington D.C.,579200
West Virginia,97300
Wisconsin,186400
Wyoming,226100
