RegionID,ZIP,City,State,Metro,CountyName,SizeRank,MedianHome,GrowthRate(1996),GrowthRate(2000),GrowthRate(2004),GrowthRate(2008),GrowthRate(2012),GrowthRate(2016)
0,dummy,dummy,dummy,dummy,dummy,0,0,0,0,0,0,0,0
61639,10025,New York,NY,New York-Newark-Jersey City,New York County,1,1009600,5.998811646,3.212217626,1.821725009,1.177925563,1.382067077,0.91615245
84654,60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2,353000,2.20625,1.630484988,1.154726856,1.070021219,1.304990758,1.069372917
61637,10023,New York,NY,New York-Newark-Jersey City,New York County,3,1361000,3.854432172,2.597824012,1.727595837,1.063447414,1.149881717,0.860956478
91982,77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4,334300,1.588878327,1.066347687,1.442191544,1.316660102,1.345813205,1.021387107
84616,60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5,432500,2.224794239,1.650763359,1.247116494,1.12221069,1.325873697,1.08777666
93144,79936,El Paso,TX,El Paso,El Paso County,6,128500,1.664507772,1.551932367,1.529761905,0.979420732,1.143238434,1.105851979
91940,77449,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,7,183000,1.918238994,1.602451839,1.476997579,1.339677892,1.577586207,1.173076923
91733,77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,8,177000,1.86906019,1.692160612,1.488645921,1.348057883,1.566371681,1.185532485
61616,10002,New York,NY,New York-Newark-Jersey City,New York County,9,943500,2.086466165,2.086466165,2.086466165,1.223100856,1.342105263,1.047751249
61807,10467,New York,NY,New York-Newark-Jersey City,Bronx County,10,426700,3.028388928,2.589199029,1.736670737,1.127344782,1.52501787,1.266172107
84640,60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,11,237800,2.392354125,1.628767123,1.061607143,0.91076216,1.323316639,1.108108108
62037,11226,New York,NY,New York-Newark-Jersey City,Kings County,12,829900,5.424183007,4.416711016,2.783031522,1.584685889,1.983034648,1.358932373
97564,94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,13,1253700,4.174825175,2.460164835,1.983702532,1.583554377,1.770012706,1.048419468
61630,10016,New York,NY,New York-Newark-Jersey City,New York County,14,988100,4.054575297,2.971729323,1.93745098,1.119786945,1.26630783,0.965884653
74101,37013,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,15,222900,2.112796209,1.81514658,1.692482916,1.528806584,1.88419273,1.42428115
92593,78660,Pflugerville,TX,Austin-Round Rock,Travis County,16,250400,1.804034582,1.688469319,1.630208333,1.444059977,1.516656572,1.217898833
71831,32162,The Villages,FL,The Villages,Sumter County,17,267300,2.636094675,2.153908139,1.67481203,1.145735105,1.375707669,1.059453032
62087,11375,New York,NY,New York-Newark-Jersey City,Queens County,18,997000,4.34422658,3.209916291,2.067606802,1.519122353,1.556839475,1.176262388
62045,11235,New York,NY,New York-Newark-Jersey City,Kings County,19,714100,4.351614869,3.155545736,1.88665786,1.321184089,1.442626263,1.159253247
