State Code,State,Zip Code,City, Beginning 2000 , End 2018 ,% Increase
NY,New York,10025,New York,305100,1051300,344.58
IL,Illinois,60657,Chicago,212600,353200,166.13
NY,New York,10023,New York,516100,1373100,266.05
TX,Texas,77494,Katy,311700,335900,107.76
IL,Illinois,60614,Chicago,257500,432400,167.92
TX,Texas,79936,El Paso,82700,127500,154.17
TX,Texas,77449,Katy,113100,180900,159.95
TX,Texas,77084,Houston,104500,173400,165.93
NY,New York,10467,New York,163200,422400,258.82
IL,Illinois,60640,Chicago,143400,237300,165.48
NY,New York,11226,New York,185900,831900,447.5
CA,California,94109,San Francisco,497200,1262400,253.9
NY,New York,10016,New York,328100,1006400,306.74
TN,Tennessee,37013,Nashville,122200,220000,180.03
TX,Texas,78660,Pflugerville,147900,249200,168.49
FL,Florida,32162,The Villages,124100,265200,213.7
NY,New York,11375,New York,307600,994000,323.15
NY,New York,11235,New York,224000,716000,319.64
IL,Illinois,60647,Chicago,182800,394200,215.65
CA,California,90250,Hawthorne,180600,654600,362.46
TN,Tennessee,37211,Nashville,110000,262800,238.91
NY,New York,10029,New York,253700,784800,309.34
IL,Illinois,60618,Chicago,175900,393200,223.54
NY,New York,10011,New York,539000,1654700,306.99
TX,Texas,77573,League City,156900,268100,170.87
TX,Texas,77584,Pearland,163300,266200,163.01
NY,New York,10128,New York,404400,1209200,299.01
DC,Washington D.C.,20002,Washington,117900,679200,576.08
TX,Texas,78130,New Braunfels,134300,227700,169.55
NC,North Carolina,28269,Charlotte,140300,208000,148.25
TX,Texas,78613,Cedar Park,191200,300700,157.27
TX,Texas,78572,Mission,68200,107600,157.77
CA,California,94565,Pittsburg,173600,426300,245.56
TX,Texas,79912,El Paso,123800,187600,151.53
GA,Georgia,30349,Riverdale,114400,130300,113.9
CA,California,90046,Los Angeles,398100,1518800,381.51
DC,Washington D.C.,20009,Washington,155500,556000,357.56
TX,Texas,75052,Grand Prairie,118300,217200,183.6
TN,Tennessee,37042,Clarksville,79800,138200,173.18
TX,Texas,77433,Cypress,164600,255400,155.16
OK,Oklahoma,73099,Yukon,85900,166300,193.6
NY,New York,11206,New York,192600,739100,383.75
TX,Texas,77429,Cypress,156800,247200,157.65
NY,New York,10003,New York,505500,1635700,323.58
TX,Texas,77479,Sugar Land,238100,369400,155.14
GA,Georgia,30044,Lawrenceville,129800,197000,151.77
MO,Missouri,63376,Saint Peters,120200,203300,169.13
IL,Illinois,60613,Chicago,151700,229300,151.15
NY,New York,10463,New York,191300,706400,369.26
GA,Georgia,30043,Lawrenceville,152200,237600,156.11
NY,New York,11212,New York,143800,458900,319.12
NY,New York,11230,New York,295200,1120200,379.47
IL,Illinois,60625,Chicago,162700,295600,181.68
NY,New York,11209,New York,309400,998700,322.79
IL,Illinois,60629,Chicago,105900,170000,160.53
NC,North Carolina,28277,Charlotte,201800,352700,174.78
NJ,New Jersey,07030,Hoboken,227600,720600,316.61
TX,Texas,78245,San Antonio,96400,175700,182.26
TX,Texas,75287,Dallas,186100,322800,173.46
TX,Texas,78704,Austin,248600,539200,216.89
AZ,Arizona,85032,Phoenix,115000,269700,234.52
IL,Illinois,60610,Chicago,175100,297000,169.62
NY,New York,11221,New York,159500,982700,616.11
FL,Florida,33160,Sunny Isles Beach,122800,342100,278.58
VA,Virginia,23464,Virginia Beach,118900,256000,215.31
TX,Texas,77077,Houston,190300,303500,159.49
GA,Georgia,30096,Duluth,138600,234700,169.34
MD,Maryland,21234,Parkville,103200,210700,204.17
TX,Texas,75243,Dallas,100300,221800,221.14
WA,Washington,98052,Redmond,269600,820100,304.19
NY,New York,11214,New York,228600,711300,311.15
TX,Texas,78521,Brownsville,56800,74700,131.51
CA,California,94501,Alameda,328500,983100,299.27
TX,Texas,77379,Spring,172200,252100,146.4
NJ,New Jersey,08701,Lakewood,134200,329400,245.45
NY,New York,10019,New York,413100,1231300,298.06
TX,Texas,78666,San Marcos,111600,207700,186.11
GA,Georgia,30024,Suwanee,215900,357000,165.35
NY,New York,11229,New York,231800,772200,333.13
FL,Florida,33411,Royal Palm Beach,122900,293700,238.97
TX,Texas,78745,Austin,135300,314700,232.59
IL,Illinois,60619,Chicago,90600,130300,143.82
CA,California,94110,San Francisco,408100,1539000,377.11
FL,Florida,33025,Miramar,96100,241700,251.51
CA,California,90034,Los Angeles,298900,1293200,432.65
FL,Florida,33139,Miami Beach,123400,330900,268.15
OH,Ohio,44107,Lakewood,112200,188100,167.65
NC,North Carolina,28027,Concord,137000,230900,168.54
TX,Texas,75067,Lewisville,134000,254300,189.78
VA,Virginia,23462,Virginia Beach,92700,199000,214.67
NY,New York,11377,New York,221200,752800,340.33
MA,Massachusetts,02169,Quincy,176600,428800,242.81
MI,Michigan,48197,Ypsilanti,155200,221800,142.91
KS,Kansas,66062,Olathe,149800,261300,174.43
OH,Ohio,44035,Elyria,91700,100700,109.81
CA,California,90044,Los Angeles,134000,431700,322.16
CA,California,95630,Folsom,224400,552700,246.3
CA,California,90805,Long Beach,142300,466200,327.62
AZ,Arizona,85710,Tucson,102800,175900,171.11
CA,California,90650,Norwalk,162300,483300,297.78
IL,Illinois,60611,Chicago,211000,352200,166.92
CA,California,92683,Westminster,220900,677700,306.79
NY,New York,11234,New York,202800,617200,304.34
NY,New York,11355,New York,208200,746200,358.41
TN,Tennessee,37075,Hendersonville,154000,285400,185.32
NY,New York,10314,New York,183400,530900,289.48
GA,Georgia,30281,Stockbridge,122900,164400,133.77
NY,New York,11211,New York,169000,963700,570.24
NY,New York,11215,New York,225200,1252100,555.99
CA,California,90026,Los Angeles,180800,946500,523.51
FL,Florida,32210,Jacksonville,69600,138400,198.85
CA,California,94558,Napa,267500,674000,251.96
AZ,Arizona,85225,Chandler,122400,261500,213.64
CO,Colorado,80134,Parker,230300,469400,203.82
NM,New Mexico,87114,Albuquerque,148500,227400,153.13
CA,California,91910,Chula Vista,200400,536900,267.91
CT,Connecticut,06010,Bristol,127600,186800,146.39
CA,California,93722,Fresno,107300,252000,234.86
TX,Texas,78240,San Antonio,104000,188600,181.35
OH,Ohio,43081,Westerville,140300,225600,160.8
PA,Pennsylvania,17603,Lancaster,90700,163900,180.71
NV,Nevada,89108,Las Vegas,111300,226900,203.86
AZ,Arizona,85308,Glendale,143700,291600,202.92
AZ,Arizona,85281,Tempe,111800,250800,224.33
NM,New Mexico,87111,Albuquerque,149700,269600,180.09
MI,Michigan,48180,Taylor,94500,103100,109.1
FL,Florida,34787,Winter Garden,150200,318600,212.12
CA,California,94533,Fairfield,149900,387100,258.24
TX,Texas,76063,Mansfield,162200,277800,171.27
PA,Pennsylvania,15601,Greensburg,79500,150100,188.81
TX,Texas,77459,Missouri City,181500,273000,150.41
CA,California,91709,Chino Hills,245300,677600,276.23
OH,Ohio,43055,Newark,82800,130600,157.73
CA,California,95608,Carmichael,172900,415200,240.14
TX,Texas,79938,El Paso,96800,148800,153.72
AZ,Arizona,85364,Yuma,80000,134800,168.5
OH,Ohio,44060,Mentor,137500,175800,127.85
NY,New York,11238,New York,165600,978700,591
OH,Ohio,43123,Grove City,126900,181400,142.95
TX,Texas,78577,Pharr,62300,89900,144.3
CO,Colorado,80013,Aurora,155500,342800,220.45
FL,Florida,33024,Pembroke Pines,93000,277500,298.39
FL,Florida,33908,Fort Myers,141400,245000,173.27
NY,New York,11385,New York,198300,667300,336.51
