,State Code,State,Zip Code,City,Year,Price,% Increase,Latitude,Longitude
0,NY,New York,10025,New York,305100,1051300,344.58,40.7975,-73.9683
1,IL,Illinois,60657,Chicago,212600,353200,166.13,41.9399,-87.6528
2,NY,New York,10023,New York,516100,1373100,266.05,40.7764,-73.9827
3,TX,Texas,77494,Katy,311700,335900,107.76,29.7404,-95.8304
4,IL,Illinois,60614,Chicago,257500,432400,167.92,41.9229,-87.6483
5,TX,Texas,79936,El Paso,82700,127500,154.17,31.7677,-106.3016
6,TX,Texas,77449,Katy,113100,180900,159.95,29.8323,-95.736
7,TX,Texas,77084,Houston,104500,173400,165.93,29.844,-95.6623
8,NY,New York,10467,New York,163200,422400,258.82,40.8737,-73.8712
9,IL,Illinois,60640,Chicago,143400,237300,165.48,41.9719,-87.6624
10,NY,New York,11226,New York,185900,831900,447.5,40.6467,-73.957
11,CA,California,94109,San Francisco,497200,1262400,253.9,37.7917,-122.4186
12,NY,New York,10016,New York,328100,1006400,306.74,40.7443,-73.9781
13,TN,Tennessee,37013,Nashville,122200,220000,180.03,36.0595,-86.6592
14,TX,Texas,78660,Pflugerville,147900,249200,168.49,30.4421,-97.6299
15,FL,Florida,32162,The Villages,124100,265200,213.7,28.9341,-81.9599
16,NY,New York,11375,New York,307600,994000,323.15,40.7229,-73.8473
17,NY,New York,11235,New York,224000,716000,319.64,40.5839,-73.9536
18,IL,Illinois,60647,Chicago,182800,394200,215.65,41.9209,-87.7043
19,CA,California,90250,Hawthorne,180600,654600,362.46,33.9143,-118.3493
20,TN,Tennessee,37211,Nashville,110000,262800,238.91,36.0725,-86.724
21,NY,New York,10029,New York,253700,784800,309.34,40.7918,-73.9447
22,IL,Illinois,60618,Chicago,175900,393200,223.54,41.9464,-87.7042
23,NY,New York,10011,New York,539000,1654700,306.99,40.7402,-73.9996
24,TX,Texas,77573,League City,156900,268100,170.87,29.5173,-95.0963
25,TX,Texas,77584,Pearland,163300,266200,163.01,29.5405,-95.3208
26,NY,New York,10128,New York,404400,1209200,299.01,40.7816,-73.9511
27,DC,Washington D.C.,20002,Washington,117900,679200,576.08,38.9024,-76.9901
28,TX,Texas,78130,New Braunfels,134300,227700,169.55,29.7229,-98.0742
29,NC,North Carolina,28269,Charlotte,140300,208000,148.25,35.2886,-80.8209
30,TX,Texas,78613,Cedar Park,191200,300700,157.27,30.5052,-97.8203
